Year,UNIT_MEASURE,Пол,AGE,Value
2040,Број,Ж,65-69,35328
2040,Број,Ж,70-74,33458
2040,Број,Ж,75-79,34256
2040,Број,Ж,80-84,29125
2040,Број,Ж,85-89,19289
2040,Број,Ж,90-94,7821
2040,Број,Ж,95-99,1505
2040,Број,Ж,100-104,283
2040,Број,Ж,105-109,15
2040,Број,Ж,110-114,0
2040,Број,Ж,115-119,0
2040,Број,Ж,120+,0
2045,Број,Ж,_T,493695
2045,Број,Ж,0,3368
2045,Број,Ж,1-4,13852
2045,Број,Ж,5-9,18205
2045,Број,Ж,10-14,19301
2045,Број,Ж,15-19,20456
2045,Број,Ж,20-24,21743
2045,Број,Ж,25-29,22706
2045,Број,Ж,30-34,24061
2045,Број,Ж,35-39,26878
2045,Број,Ж,40-44,26882
2045,Број,Ж,45-49,31425
2045,Број,Ж,50-54,31252
2045,Број,Ж,55-59,34464
2045,Број,Ж,60-64,37326
2045,Број,Ж,65-69,36866
2045,Број,Ж,70-74,33581
2045,Број,Ж,75-79,30115
2045,Број,Ж,80-84,27965
2045,Број,Ж,85-89,20073
2045,Број,Ж,90-94,10112
2045,Број,Ж,95-99,2737
2045,Број,Ж,100-104,299
2045,Број,Ж,105-109,29
2045,Број,Ж,110-114,1
2045,Број,Ж,115-119,0
2045,Број,Ж,120+,0
2050,Број,Ж,_T,472768
2050,Број,Ж,0,3208
2050,Број,Ж,1-4,13150
2050,Број,Ж,5-9,17261
2050,Број,Ж,10-14,18223
2050,Број,Ж,15-19,19303
2050,Број,Ж,20-24,20529
2050,Број,Ж,25-29,21825
2050,Број,Ж,30-34,22804
2050,Број,Ж,35-39,24193
2050,Број,Ж,40-44,26921
